Fuel_Type,Body_Type,Transmission,Number_of_Owners,Car_Model,Price,Registration_Year,Seats,Kms_Driven,mileage(kmpl),max_power(bhp),Power Steering,Air Conditioner,Heater,Centeral Locking,Child Safety Locks,Anti Theft Device
0,0,0,3,0,400000.0,2015,5,120000,23.1,67.04,1,1,1,1,1,1
0,1,0,2,1,811000.0,2018,5,32706,17.0,121.31,1,1,1,1,1,1
0,0,0,1,2,585000.0,2018,5,11949,23.84,84.0,1,1,1,1,1,1
0,2,0,1,3,462000.0,2014,5,17794,19.1,81.86,1,1,1,1,1,1
1,1,0,1,4,790000.0,2015,5,60000,23.65,88.5,1,1,1,1,1,1
1,1,0,1,5,1758500.0,2020,5,20000,17.1,170.0,1,1,1,1,1,1
0,0,0,1,6,345000.0,2017,5,37772,20.63,67.0,1,1,1,1,1,1
0,2,1,1,7,960000.0,2018,5,37000,20.28,103.25,1,1,1,1,1,1
0,0,0,1,2,585000.0,2018,5,11949,23.84,84.0,1,1,1,1,1,1
0,0,1,1,8,682000.0,2019,5,24887,18.9,81.86,1,1,1,1,1,1
0,0,1,1,9,825000.0,2018,5,23000,18.2,88.7,1,1,1,1,1,1
0,0,1,1,2,595000.0,2018,5,48928,23.84,83.83,1,1,1,1,1,1
1,1,0,3,10,690000.0,2014,7,108862,15.1,140.0,1,1,1,1,1,1
1,1,0,1,5,1350000.0,2018,5,80000,17.1,170.0,1,1,1,1,1,1
1,0,0,2,11,521000.0,2014,5,65376,21.27,88.76,1,1,1,1,0,0
0,1,0,1,12,1005000.0000000001,2022,5,10000,17.33,118.35,1,1,1,1,0,0
0,2,0,2,13,775000.0,2016,5,67000,17.8,117.3,1,1,1,1,1,1
0,0,0,1,14,582000.0,2016,5,18083,22.38,88.5,1,1,1,1,1,0
0,1,0,1,15,1090000.0,2020,5,30000,16.42,104.55,1,1,1,1,1,0
0,0,0,2,2,457000.0,2016,5,57634,23.84,84.0,1,1,1,1,1,1
0,2,0,1,13,550000.0,2015,5,110000,17.4,117.3,1,1,1,1,1,1
0,0,1,1,16,570000.0,2018,5,23447,20.3,68.0,1,1,1,1,1,1
0,2,1,1,17,1758500.0,2017,5,33000,15.0,194.4,1,1,1,1,1,1
1,1,0,2,10,861000.0,2014,7,87667,15.1,140.0,1,1,1,1,1,1
1,2,1,2,18,1758500.0,2016,5,40000,17.11,174.33,1,1,1,1,1,1
1,1,0,2,10,802999.9999999999,2014,7,79012,15.1,140.0,1,1,1,1,1,1
1,1,0,1,5,1758500.0,2021,5,31344,17.1,167.67,1,1,1,1,1,1
0,0,0,1,19,349000.0,2015,5,12434,20.51,67.04,1,1,1,1,1,1
0,3,0,2,20,1050000.0,2019,7,60000,19.34,103.0,1,1,1,1,1,1
1,2,1,1,21,1758500.0,2019,5,12000,12.6,194.0,1,1,1,1,1,1
0,0,0,2,19,405999.99999999994,2015,5,40987,20.51,67.04,1,1,1,1,1,1
0,2,1,1,22,1758500.0,2020,5,18157,15.56,248.08,1,1,1,1,1,1
1,1,0,3,23,1100000.0,2011,7,120000,11.5,0.0,1,1,1,1,1,0
0,0,0,1,11,594000.0,2016,5,89667,18.6,81.83,1,1,1,1,1,1
1,0,0,1,11,710000.0,2017,5,120000,22.54,88.73,1,1,1,1,1,1
0,0,0,1,24,692000.0,2017,5,56997,21.4,83.1,1,1,1,1,1,1
0,2,0,1,25,650000.0,2013,5,120000,16.3,147.5,1,1,1,1,1,1
1,2,1,1,26,1758500.0,2016,5,59000,18.53,187.74,1,1,1,1,1,1
0,0,0,1,27,411000.00000000006,2021,5,18835,22.05,47.33,1,1,1,1,1,0
1,1,0,2,28,650000.0,2010,7,120000,12.05,120.0,1,1,1,1,1,1
0,0,1,1,29,1758500.0,2016,4,40000,17.33,189.08,1,1,1,1,0,1
0,0,0,1,2,610000.0,2019,5,60932,23.84,83.83,1,1,1,1,1,1
0,1,1,2,30,1675000.0,2020,5,33539,16.5,138.08,1,1,1,1,1,0
0,0,0,2,2,530000.0,2018,5,66837,23.84,84.0,1,1,1,1,1,1
1,2,1,1,17,1758500.0,2022,5,400,0.0,0.0,1,1,1,1,1,1
0,0,0,1,11,715000.0,2019,5,44285,18.6,81.86,1,1,1,1,1,1
1,1,1,2,31,1758500.0,2014,7,100000,11.3,254.8,1,1,1,1,1,1
1,1,1,1,32,1758500.0,2021,6,25000,14.08,167.67,1,1,1,1,1,0
0,0,0,1,8,625000.0,2019,5,36735,18.9,81.86,1,1,1,1,1,1
1,1,1,1,33,1758500.0,2015,7,79000,12.07,241.4,1,1,1,1,1,1
1,1,0,2,28,650000.0,2010,8,120000,12.05,120.0,1,1,1,1,1,1
0,0,1,1,34,550000.0,2022,5,10000,22.0,67.0,1,1,1,1,1,1
1,1,0,1,12,825000.0,2018,5,53645,21.5,108.5,1,1,1,1,1,1
0,0,0,2,35,220000.00000000003,2006,5,100000,15.3,0.0,1,1,1,0,1,0
0,0,1,1,0,428000.0,2014,5,53982,26.68,65.71,1,1,1,1,1,0
1,2,0,1,36,695000.0,2014,5,110000,21.14,103.52,1,1,1,1,1,1
0,1,0,2,1,930000.0000000001,2019,5,37741,15.9,120.69,1,1,1,1,1,1
0,0,0,1,27,455000.0,2021,5,17367,22.05,47.33,1,1,1,1,1,0
1,1,0,1,37,1195000.0,2017,5,94000,19.67,126.2,1,1,1,1,1,1
1,1,1,1,38,1758500.0,2021,5,33700,14.6,167.67,1,1,1,1,1,0
0,0,0,3,14,442000.0,2014,5,54601,22.38,88.5,1,1,1,1,1,0
1,0,0,1,14,690000.0,2018,5,110000,28.4,74.0,1,1,1,1,1,1
0,0,0,2,0,500000.0,2017,5,64000,23.1,67.04,1,1,1,1,1,1
1,2,1,1,39,1758500.0,2016,5,40525,21.76,188.0,1,1,1,1,1,1
0,0,1,2,9,537000.0,2016,5,44154,19.0,88.7,1,1,1,1,1,1
0,2,1,1,40,1758500.0,2018,5,79000,15.1,178.0,1,1,1,1,1,1
0,0,0,2,2,468000.0,2018,5,68039,23.84,84.0,1,1,1,1,1,1
0,0,0,2,41,420000.0,2014,5,60000,18.5,85.8,1,1,1,1,1,1
0,0,0,2,41,420000.0,2014,5,60000,18.5,85.8,1,1,1,1,1,1
